At time 2 node1 Sending Ack with number 1, loss = No
At time 2.5 node1 Sending Ack with number 2, loss = No
At time 3 node1 Sending Ack with number 3, loss = No
At time 3.5 node1 Sending Ack with number 0, loss = No
At time 5 node1 Sending Ack with number 1, loss = No
At time 6 node1 Sending Nack with number 0, loss = No
At time 16 node1 Sending Ack with number 2, loss = No
At time 16.5 node1 Sending Nack with number 0, loss = No
At time 27 node1 Sending Ack with number 3, loss = No
At time 27.5 node1 Sending Ack with number 0, loss = No
At time 32 node1 Sending Ack with number 1, loss = No
At time 39 node1 Sending Ack with number 2, loss = No
At time 39.5 node1 Sending Ack with number 3, loss = No
At time 40 node1 Sending Ack with number 0, loss = No
At time 40.5 node1 Sending Ack with number 1, loss = No
At time 42.5 node1 Sending Nack with number 0, loss = No
At time 42.6 node1 Sending Nack with number 0, loss = No
At time 46 node1 Sending Ack with number 2, loss = No
At time 53 node1 Sending Ack with number 3, loss = No
At time 64 node1 Sending Ack with number 0, loss = No
